O Grilo | Sofia;
O Grilo | Serenata Existencialista;
O Grilo | Competicao de Ego;
O Grilo | Trela;
O Grilo | Tudo e Mais um Pouco;
O Grilo | Meu Pior Amigo;
O Grilo | Infinito (-1);
O Grilo | Adeus;
O Grilo | Onde Flor;
O Grilo | Me Deixe So;
O Grilo | Manual Pratico Do Tedio;
O Grilo | Passo A Passo;
O Grilo | Ainda E Verao;
O Grilo | Ja Passou;
O Grilo | Horizonte;
O Grilo | Ja Nao Me Faz Bem;
O Grilo | Seja Quem Voce Quiser;
O Grilo | Sambinha;
O Grilo | Sombra No Sol;
O Grilo | Alguma Coisa Acontece;
O Grilo | So Vou Dizer;
O Grilo | Pior Do Que Parece;
O Grilo | Um Ano Pro Ano Que Vem;
O Grilo | Foi Por Querer;
O Grilo | Dissecando A Cancao;
Los Hermanos | Tenha Do;
Los Hermanos | Anna Julia;
Los Hermanos | Quem Sabe;
Los Hermanos | Barbara;
Los Hermanos | A Flor;
Los Hermanos | Retrato Pra Iaia;
Los Hermanos | Cade Teu Suin?;
Los Hermanos | Sentimental;
Los Hermanos | Adeus Voce;
Los Hermanos | O Vencedor;
Los Hermanos | Ultimo Romance;
Los Hermanos | Do Setimo Andar;
Los Hermanos | Cara Estranho;
Los Hermanos | Conversa de Botas Batidas;
Los Hermanos | De Onde Vem a Calma;
Los Hermanos | Primeiro Andar;
Los Hermanos | O Vento;
Los Hermanos | Horizonte Distante;
Los Hermanos | Condicional;
Los Hermanos | Pois e;
Los Hermanos | E de Lagrima;
Los Hermanos | Sentimental (Ao Vivo);
Los Hermanos | Corre Corre (Ao Vivo);
Los Hermanos | O Velho e o Moco (Ao Vivo);
Los Hermanos | Ultimo Romance (Ao Vivo);
Victor & Leo | Borboletas;
Vitroles | A banda na van;
Pericles | Supera (Ao Vivo);
Sorriso Maroto | Sinais;
Erasmo Carlos | E Preciso Dar Um Jeito, Meu Amigo;
Vitroles | Almoxarifado;
Vitroles | Capiroto Burocrata;
Pullovers | Tudo Que Eu Sempre Sonhei;
Mamonas Assassinas | Pelados Em Santos;
Vitroles | Nova demais pra mim;
Rubel | Grao de Areia;
Vitroles | Gatinha Comunista;
Os Paralamas Do Sucesso | Aonde Quer Que Eu Va;
Skank | Algo Parecido;
Skank | Resposta;
MC Leozinho (feat. DJ Marlboro) | Ela So Pensa em Beijar (Se Ela Danca Eu Danco);
Pericles | Se Eu Largar O Freio;
Pericles | Graveto (Ao Vivo);
Pericles | Ate Que Durou (Ao Vivo);
Os Baroes Da Pisadinha | Ja Que Me Ensinou a Beber;
Rubel | Quando Bate Aquela Saudade;
Legiao Urbana | Tempo Perdido;
CPM 22 | Um Minuto Para O Fim Do Mundo;
Ritchie | Menina Veneno;
Skank | Dois Rios;
Skank | Um Gesto Qualquer;
Skank | Escravo;
Skank | Cancao Aspera;
Skank | Chao;
Seu Jorge | Mina do Condominio;
Skank | Saideira;
Skank | Tao Seu;
Capital Inicial | Leve Desespero;
Ze Ramalho | Sinonimos;
Skank | Supernova;
Legiao Urbana | Eduardo E Monica;
Skank | Amores Imperfeitos;
Skank | Sambatron;
Skank | Fotos na Estante;
Cazuza | O Tempo Nao Para;
Skank | Um Mais Um;
Skank | E uma Partida de Futebol;
Nando Reis | O Segundo Sol;
Skank | Simplesmente;
Roberta Campos | De Janeiro a Janeiro;
Skank | Ainda Gosto Dela;
Skank | Jackie Tequila;
Skank | Ainda Gosto Dela;
Skank | Presenca;
Skank | Tanto (I Want You);
Seu Jorge | Amiga da Minha Mulher;
Seu Jorge | Burguesinha;
Falcao | Do Mastigativo Ao Defecativo;
Atalhos | Tierra del Fuego;
Atalhos | A Tentacao do Fracasso;
Atalhos | Mesmo Coracao;
Atalhos | Te Encontrei em SP;
Atalhos | Teoria del Cuerpo Enamorado;
Atalhos | A Distancia (Fernweh);
Atalhos | Monica Vitti;
Atalhos | Ushuaia;
Atalhos | Mas Lejos;
Atalhos | Atlanta;
Atalhos | Ayer Mori;
Banda do Mar | Cidade Nova;
Banda do Mar | Mais Ninguem;
Banda do Mar | Hey Nana;
Banda do Mar | Muitos Chocolates;
Banda do Mar | Pode Ser;
Banda do Mar | Mia;
Banda do Mar | Dia Clarear;
Banda do Mar | Me Sinto Otima;
Banda do Mar | Faz Tempo;
Banda do Mar | Seja Como For;
Banda do Mar | Solar;
Banda do Mar | Vamo Embora;
Guto Brant | Sal;
Guto Brant | Artificio;
Guto Brant | Espiral;
Guto Brant | Onda do Mar;
Guto Brant | Levado;
Guto Brant | Um Sopro;
Guto Brant | Tempo Seco/Temporal;
Guto Brant | Sem Farol;
Guto Brant | Mes Um;
Guto Brant | Nu Ante A Vida;
Guto Brant | Mal & Bem;
Guto Brant | Na Vida, A Vida E Quem Sabe O Que Faz;
Guto Brant | A Glande Promessa;
Guto Brant | De Noite Na Cama;
Guto Brant | Mamae Natureza;
Guto Brant | A Hora E Essa;
Cor dos Olhos | Cataventos;
Cor dos Olhos | Banho de Rosas;
Cor dos Olhos | A Curva;
Cor dos Olhos | Carne Viva;
Cor dos Olhos | Cancao Para Alguem Ferido;
Cor dos Olhos | Te Vi;
Cor dos Olhos | Nuvens Brancas;
Cor dos Olhos | Rouxinol;
Cor dos Olhos | Simbolo Infinito;
Cor dos Olhos | 5 Minutos;
Cor dos Olhos | Fe em Que?;
Moptop | Uma Chance;
Moptop | Paris;
Moptop | O Rock Acabou;
Moptop | Ninguem Pra Te Esquecer;
Moptop | Bem Melhor;
Moptop | Moonrock;
Moptop | Sempre Igual;
Moptop | Tao Certo;
Moptop | Melhor Nem Vir;
Moptop | Lugar Qualquer;
Moptop | Seja Ate O Fim;
Moptop | Leve Demais;
Moptop | Aonde Quer Chegar?;
Moptop | Contramao;
Moptop | Como Se Comportar;
Moptop | Desapego;
Moptop | Eu Avisei;
Moptop | Bom Par;
Moptop | Malcuidado;
Moptop | Beijo De Filme;
Moptop | Adeus;
Moptop | 2046;
Moptop | Historia Pra Contar;
Moptop | Bonanza;
Lagum | Pra La de Bagda;
Lagum | Fifa;
Lagum | 2026;
Lagum | Sei La;
Lagum | Sem Hora;
Lagum | Detesto Despedidas;
Lagum | Chegou de Manso;
Lagum | Andar Sozinho;
Lagum | Oi;
Lagum | Reggae Bom;
Lagum | Grato um Tanto;
Lagum | Vai Doer no Peito;
Lagum | Falando a Verdade;
Lagum | Se For pra Ser;
Lagum | Coisa da Geracao;
Lagum | Fale Mais;
Lagum | E Seu;
Lagum | NINGUEM ME ENSINOU;
Lagum | VEJA BABY;
Lagum | DESCOBRIDOR;
Lagum | EU TE AMO;
Lagum | NAO VOU FALAR DE AMOR;
Lagum | EU E MINHAS PARANOIAS;
Lagum | MUSA DO INVERNO;
Lagum | FESTA JOVEM;
Lagum | Depois do Fim;
Lagum | De Amor Eu Nao Morri;
Lagum | Olha Bela;
Lagum | Nem Vi que o Tempo Voou;
Lagum | Outro Alguem;
Lagum | Habite-se;
Lagum | Ou Nao;
Lagum | Coisa Boa;
Lagum | Sobre Mim;
Lagum | Ponto de Vista;
Lagum | Mantra do Bom Termino;
Daparte | Nunca Fui Desse Lugar;
Lagum | Ja Ja Eu Vou;
Lagum | Deixa;
Lagum | A Gente Nunca Conversou (Ei Moca);
Lagum | Nao Vou Mentir;
Lagum | Bem Melhor;
Lagum | Eu Nao Valho Nada;
Lagum | Hoje Eu Quero Me Perder;
Lagum | Sera;
ANAVITORIA | universo de coisas que eu desconheco;
Lagum | CAIXA POSTAL;
Lagum | Foi Mal;
Gilsons | Ceu Rose;
Lagum | Curva da Ladeira;
Lagum | Meu Esquema;
Lagum | Telefone;
Lagum | Eterno Agora;
Lagum | Dancando no Escuro;
Lagum | A Cidade;
Lagum | Quem Desligou o Som?;
Lagum | As Desvantagens de Amar Alguem Que Mora Longe;
Lagum | To de Olho;
Lagum | Vagarosa Manha;
Lagum | Vida Novela;
Lagum | Baby Blue;
Lagum | A Ultima Nuvem do Ceu;
ANAVITORIA | Agora Eu Quero Ir;
ANAVITORIA | Cor De Marte;
ANAVITORIA | Singular;
ANAVITORIA | Chamego Meu;
ANAVITORIA | Trevo (Tu);
ANAVITORIA | Coracao Carnaval;
ANAVITORIA | Dengo;
ANAVITORIA | Tocando Em Frente;
ANAVITORIA | Talvez A Deus;
ANAVITORIA | Tua;
ANAVITORIA | Nos;
ANAVITORIA | Ai, Amor;
ANAVITORIA | Porque Eu Te Amo;
ANAVITORIA | Calendario;
ANAVITORIA | Outroria;
ANAVITORIA | A Gente Junto;
ANAVITORIA | O Tempo E Agora;
ANAVITORIA | Preta;
ANAVITORIA | Cancao De Hotel;
ANAVITORIA | Cecilia;
ANAVITORIA | Doi Sem Tanto;
ANAVITORIA | Se Tudo Acaba;
ANAVITORIA | pra voce guardei o amor;
ANAVITORIA | relicario;
ANAVITORIA | as coisas tao mais lindas;
ANAVITORIA | dois rios;
ANAVITORIA | espatodea;
ANAVITORIA | quem vai dizer tchau;
ANAVITORIA | all star;
ANAVITORIA | por onde andei;
ANAVITORIA | Amarelo, azul e branco;
ANAVITORIA | Te amar e massa demais;
ANAVITORIA | Tenta acreditar;
ANAVITORIA | Explodir;
ANAVITORIA | Cigarra;
ANAVITORIA | Selva;
ANAVITORIA | (dia 34);
ANAVITORIA | Ainda e tempo;
ANAVITORIA | Eu sei quem e voce;
ANAVITORIA | Terra;
ANAVITORIA | Abril;
ANAVITORIA | Te procuro;
ANAVITORIA | Carvoeiro;
ANAVITORIA | Lisboa;
ANAVITORIA | Se eu usasse sapato;
ANAVITORIA | Minto pra quem perguntar;
ANAVITORIA | Nao sinto nada;
ANAVITORIA | Ter o coracao no chao;
ANAVITORIA | Ponta solta;
ANAVITORIA | Espetaculo estranho;
ANAVITORIA | Agua|viva;
ANAVITORIA | Eu, voce, ele e ela;
ANAVITORIA | Mesma trama, mesmo frio;
ANAVITORIA | Quero contar pra Sao Paulo;
ANAVITORIA | Doce futuro;
ANAVITORIA | Navio ancorado no ar;
ANAVITORIA | Tententender;
ANAVITORIA | Cores;
ANAVITORIA | Amores Imperfeitos;
ANAVITORIA | Misterio;
ANAVITORIA | Pirlimpimpim;
ANAVITORIA | Sideral;
ANAVITORIA | O Leaozinho;
ANAVITORIA | Perdoa;
ANAVITORIA | Pupila;
ANAVITORIA | Me conta da tua janela;
ANAVITORIA | nao passa vontade;
ANAVITORIA | Lisboa-Madrid;
ANAVITORIA | Aguei;
ANAVITORIA | Geleira do tempo;
ANAVITORIA | Barquinho de papel;
ANAVITORIA | Ai ja era;
ANAVITORIA | Amor Perfeito;
ANAVITORIA | Simples assim;
ANAVITORIA | Joao e Maria;
ANAVITORIA | Espalhe amor;
Daparte | Guarda-Chuva;
Daparte | A Vista;
Daparte | Aldeia;
Daparte | Acidental;
Daparte | O Homem Invisivel;
Daparte | O Inimigo;
Daparte | Mendigo;
Daparte | A Cidade;
Daparte | Fenix;
Daparte | Retorno para Homem Invisivel;
Daparte | Voce Gosta Dela;
Daparte | Iaia;
Daparte e Lagum | Nunca Fui Desse Lugar;
Daparte | Segundas Intencoes;
Daparte | 3 da Manha;
Daparte | Calma;
Daparte | Queria Eu;
Daparte | Claudia;
Daparte | Carnaval;
Daparte | Notas Sobre o Mau Humor;
Daparte | Ultravioleta;
Daparte | Lamina Cega;
Daparte | Invisivel;
Daparte | Baterias de Emergencia;
Daparte | Belo Horizonte;
Daparte | Meus Poucos Amigos;
Daparte | Fila do Pao;
Daparte | Templos;
Daparte | O Vazio;
O Grilo | Voce Nao Sabe de Nada;
Daparte | Seu Endereco;
Daparte | Nesse Tempo;
Daparte | Aldeia;
Daparte | Iaia (Acustico);
Daparte | Farol;
Daparte | La Fora O Tempo Danca;
Daparte | O Eterno Em Caraiva;
Daparte e Ze Ibarra | Pescador;
Daparte | Acrobata;
Daparte | Iaia (Ao Vivo no Sonasterio);
Daparte | Voce Gosta Dela (Ao Vivo no Sonasterio);
Daparte | Queria Eu (Ao Vivo no Sonasterio);
Daparte | Nunca Fui Desse Lugar (Ao Vivo no Sonasterio);
Daparte | Farol (Ao Vivo no Sonasterio);
Daparte | Calma (Ao Vivo no Sonasterio);
Daparte | A Noite;
Gilsons | Varias Queixas;
Gilsons | Vento Alecrim;
Gilsons | Love Love;
Gilsons | Cores e Nomes;
Gilsons | A Voz;
Gilsons | Devagarinho;
Gilsons | India;
Gilsons | Besteira;
Gilsons | Algum Ritmo;
Gilsons | Proposta;
Gilsons | Duas Cidades;
Gilsons | Bateu;
Gilsons | ME LIGA;
Gilsons | Bebe;
